user_id,join_date,country,device_type,subscription_type
u950214,2022-02-16,JP,iPad,enterprise
u238243,2020-05-09,UK,Android Phone,enterprise
u836115,2023-06-22,IN,iPad,free
u213019,2022-06-11,MX,Android Tablet,enterprise
u906335,2020-10-03,US,Android Phone,free
u382273,2022-07-07,IN,iPad,free
u039025,2021-12-15,JP,iPad,premium
u424351,2020-05-25,BR,iPad,enterprise
u133540,2021-03-17,CA,Android Tablet,basic
u124325,2020-12-31,CA,Windows,basic
u395004,2023-07-28,UK,iPad,free
u565566,2020-03-22,IN,iPhone,free
u594917,2023-06-04,JP,Android Phone,premium
u099656,2021-05-11,IN,iPad,enterprise
u079555,2022-10-29,FR,Android Phone,premium
u416143,2023-09-29,CA,iPhone,basic
u641934,2021-08-21,AU,Windows,premium
u258586,2020-12-03,UK,iPhone,premium
u136892,2021-03-06,UK,Mac,basic
u192966,2023-11-21,BR,Windows,enterprise
u668100,2022-02-23,MX,Mac,enterprise
u592923,2022-12-29,JP,iPad,basic
u599644,2023-01-03,MX,iPhone,enterprise
u411061,2021-05-25,AU,Android Phone,enterprise
u776791,2020-08-03,MX,Windows,basic
u966414,2023-10-17,BR,iPhone,enterprise
u288877,2023-11-03,MX,iPhone,premium
u798317,2021-11-27,UK,iPhone,basic
u573925,2022-11-13,FR,Android Phone,premium
u186382,2020-04-24,AU,Android Tablet,premium
u053110,2022-08-03,BR,Android Phone,free
u949755,2023-05-13,MX,Android Tablet,basic
u343386,2023-08-13,IN,Mac,premium
u776335,2023-06-12,BR,iPad,enterprise
u325271,2022-06-02,JP,iPhone,enterprise
u843026,2020-07-24,IN,iPhone,enterprise
u330199,2023-01-21,DE,Android Tablet,free
u894639,2022-04-08,BR,iPad,free
u690142,2020-12-01,MX,Android Phone,premium
u887741,2020-06-23,UK,iPad,free
u941972,2021-04-02,FR,Mac,basic
u606069,2020-08-21,US,iPhone,free
u348995,2022-12-13,AU,iPhone,enterprise
u533876,2020-05-15,US,Android Phone,free
u674817,2023-09-26,FR,iPhone,premium
u854729,2022-04-21,BR,Mac,premium
u459023,2021-10-24,DE,Mac,enterprise
u033870,2022-12-04,US,Android Phone,basic
u202562,2021-08-04,US,Android Tablet,free
u853017,2023-05-28,UK,Android Phone,premium
u059586,2022-04-20,MX,Windows,premium
u339750,2021-09-25,FR,Windows,premium
u949283,2020-04-12,FR,iPad,basic
u693367,2020-12-28,UK,iPhone,enterprise
u274096,2022-09-23,UK,Windows,premium
u426385,2022-03-21,UK,iPhone,basic
u790550,2023-08-04,US,Android Tablet,basic
u097692,2022-12-15,MX,Mac,premium
u583401,2022-12-08,JP,Mac,enterprise
u923512,2020-07-27,JP,Android Tablet,enterprise
u329332,2022-06-20,IN,Android Tablet,free
u399202,2021-02-07,CA,Mac,premium
u767435,2023-04-21,BR,Mac,free
u608678,2022-11-08,IN,Windows,enterprise
u017466,2021-04-17,BR,iPad,enterprise
u115342,2023-03-08,FR,iPad,enterprise
u182796,2023-11-20,DE,Android Phone,free
u329658,2020-07-24,UK,iPhone,enterprise
u759090,2022-07-19,JP,Android Tablet,enterprise
u187692,2020-01-10,BR,Android Phone,premium
u443304,2023-02-20,DE,Android Tablet,premium
u377327,2023-09-17,FR,Android Phone,enterprise
u560273,2023-12-03,UK,Windows,premium
u344491,2020-11-14,JP,Mac,premium
u195364,2022-11-19,AU,Android Phone,basic
u196878,2020-02-13,JP,Mac,enterprise
u505602,2020-08-21,BR,iPhone,premium
u246059,2020-08-13,FR,Android Phone,premium
u652740,2020-12-11,JP,iPhone,enterprise
u191435,2020-06-22,BR,iPad,premium
u701528,2023-09-19,IN,iPhone,free
u323600,2023-01-08,JP,Windows,premium
u760777,2021-01-28,CA,iPhone,enterprise
u766396,2023-05-10,MX,Android Tablet,premium
u789373,2022-01-04,UK,Android Tablet,enterprise
u917882,2022-06-26,MX,Mac,free
u038791,2022-01-05,FR,Android Phone,enterprise
u357882,2020-05-25,IN,Android Phone,enterprise
u072380,2021-11-07,DE,iPad,premium
u108130,2023-01-30,AU,Android Tablet,enterprise
u546633,2023-09-13,DE,Windows,enterprise
u405815,2020-05-29,IN,iPad,premium
u460113,2020-07-29,AU,Windows,enterprise
u720146,2023-11-02,JP,Windows,basic
u298394,2021-05-06,DE,Android Phone,enterprise
u295544,2022-02-25,AU,Windows,free
u801510,2022-04-17,AU,Windows,premium
u676040,2021-05-21,CA,iPhone,enterprise
u523180,2020-08-05,DE,iPad,free
u479294,2022-10-12,FR,Android Phone,free
u305445,2022-06-15,JP,iPad,basic
u502050,2022-09-20,US,Android Phone,premium
u245106,2022-06-19,US,Mac,enterprise
u466011,2021-04-25,MX,Android Tablet,enterprise
u577990,2020-09-08,DE,Android Tablet,free
u122513,2020-08-20,US,Android Tablet,free
u998061,2020-09-05,CA,Android Tablet,enterprise
u874302,2020-05-05,IN,iPhone,free
u730254,2022-10-26,DE,Android Phone,free
u060868,2022-11-06,JP,iPad,basic
u116127,2023-04-30,AU,Windows,enterprise
u977332,2021-09-23,UK,iPad,free
u720410,2022-11-20,CA,iPad,basic
u591531,2020-09-19,DE,Android Tablet,premium
u600858,2021-02-23,AU,iPhone,free
u126801,2020-12-22,US,iPhone,premium
u583824,2023-07-31,CA,iPad,enterprise
u894253,2023-01-10,FR,Android Tablet,enterprise
u227491,2020-06-23,JP,Windows,basic
u785539,2023-04-22,UK,Android Phone,enterprise
u940766,2022-07-04,IN,Windows,premium
u084344,2020-12-01,BR,iPhone,free
u466330,2021-07-12,BR,Android Phone,basic
u977733,2020-01-25,AU,Android Tablet,enterprise
u057704,2022-08-01,FR,iPhone,premium
u095395,2023-10-29,US,Android Tablet,free
u240886,2023-09-15,US,Windows,enterprise
u920595,2020-03-20,UK,Android Phone,premium
u106367,2023-07-23,DE,Windows,premium
u280068,2021-08-09,DE,Android Tablet,free
u197310,2022-05-02,US,iPad,premium
u212077,2023-03-27,CA,iPad,basic
u173613,2022-05-22,UK,Android Phone,free
u149306,2020-09-16,CA,Android Tablet,enterprise
u926466,2021-01-03,JP,Mac,premium
u494881,2023-05-21,CA,Windows,premium
u877057,2020-08-19,FR,Windows,enterprise
u989388,2023-02-16,IN,iPhone,free
u088587,2023-08-22,FR,Windows,free
u502623,2021-03-08,IN,iPad,basic
u462360,2023-03-15,CA,Android Phone,premium
u184785,2020-07-28,US,Windows,free
u142499,2023-08-14,MX,iPhone,basic
u821680,2022-05-30,MX,Mac,basic
u551952,2022-10-30,BR,Android Phone,premium
u625885,2023-03-05,BR,Windows,free
u163916,2021-04-09,UK,Android Tablet,enterprise
u823072,2021-11-09,IN,Android Tablet,premium
u538092,2023-04-04,AU,iPad,free
u732808,2023-02-06,JP,iPhone,premium
u300323,2023-12-26,DE,iPhone,premium
u814750,2023-11-02,CA,Windows,enterprise
u183040,2021-12-14,US,Mac,free
u168232,2023-02-11,AU,Windows,premium
u521880,2022-09-03,IN,iPad,enterprise
u164615,2022-01-07,JP,iPad,free
u431917,2022-12-04,JP,iPhone,premium
u357138,2020-02-23,CA,Android Phone,premium
u137178,2022-12-04,US,Mac,premium
u529192,2022-06-09,JP,Mac,basic
u098098,2020-04-14,IN,Windows,free
u523465,2023-09-25,FR,Android Phone,enterprise
u380305,2021-04-05,US,iPhone,free
u572630,2023-02-26,CA,iPad,basic
u050770,2020-08-12,CA,Mac,free
u944708,2021-04-16,IN,Android Tablet,premium
u732769,2022-06-29,AU,Mac,enterprise
u882977,2022-05-11,IN,iPhone,free
u569153,2021-03-26,FR,Mac,free
u686814,2022-06-10,AU,Windows,free
u447208,2021-11-23,AU,iPad,premium
u924371,2022-08-22,IN,Windows,basic
u615182,2023-03-09,BR,iPhone,enterprise
u401098,2021-03-04,FR,Windows,basic
u222060,2022-01-06,JP,iPad,basic
u817375,2022-04-11,UK,Windows,enterprise
u261335,2021-07-22,CA,Android Tablet,free
u808015,2020-07-28,DE,iPhone,free
u631379,2022-03-22,DE,iPhone,premium
u305978,2023-10-10,CA,iPhone,premium
u981278,2023-09-16,AU,Android Tablet,premium
u808867,2023-06-03,MX,Windows,enterprise
u990382,2022-08-22,CA,Windows,free
u470807,2020-04-07,CA,Android Tablet,basic
u200816,2022-05-16,UK,Mac,enterprise
u465786,2022-03-10,FR,Windows,free
u514571,2020-12-12,AU,Mac,enterprise
u081989,2023-05-23,IN,Android Tablet,enterprise
u238905,2022-09-05,US,Android Tablet,free
u152481,2022-06-07,JP,iPhone,enterprise
u737828,2022-03-06,MX,iPhone,free
u195211,2023-12-15,US,Windows,basic
u757173,2023-02-11,US,iPhone,basic
u231805,2022-04-07,CA,Windows,premium
u160715,2020-08-03,DE,Android Phone,enterprise
u957432,2023-10-17,JP,Android Phone,free
u482938,2021-01-17,CA,iPhone,enterprise
u752257,2021-08-06,UK,Android Tablet,basic
u882864,2021-12-04,FR,Mac,enterprise
u778220,2022-02-19,UK,iPhone,enterprise
u766636,2021-12-31,CA,Android Phone,premium
u025281,2021-08-06,CA,Android Phone,basic
u841031,2023-08-21,IN,Windows,basic
u155006,2020-02-23,JP,iPhone,premium
u179411,2022-08-30,MX,Mac,enterprise
u204420,2020-05-02,BR,iPad,basic
u145851,2022-06-05,US,Windows,free
u386466,2020-02-01,MX,iPhone,free
u048842,2021-08-28,BR,Windows,basic
u641611,2020-05-24,DE,Android Phone,premium
u576646,2020-06-19,IN,Android Tablet,free
u833823,2021-12-05,DE,Mac,premium
u529731,2023-12-28,FR,Mac,free
u964689,2021-08-06,MX,iPad,free
u688848,2021-09-02,IN,Android Phone,basic
u016468,2022-06-30,FR,Android Tablet,enterprise
u034789,2022-11-03,JP,Android Tablet,premium
u593624,2022-11-22,IN,iPad,enterprise
u669957,2021-10-24,IN,Mac,basic
u434152,2021-07-19,IN,Mac,free
u717701,2021-11-23,AU,iPhone,basic
u826546,2022-03-21,UK,Mac,enterprise
u456312,2020-07-11,AU,iPad,free
u420118,2020-09-05,FR,Android Tablet,basic
u072705,2021-01-15,DE,iPhone,basic
u890683,2021-04-06,FR,iPhone,basic
u626430,2022-08-02,MX,Android Tablet,basic
u136009,2023-01-02,MX,iPad,enterprise
u312264,2023-03-04,JP,Android Tablet,free
u333328,2023-10-24,UK,Android Tablet,enterprise
u990858,2021-12-16,MX,iPhone,basic
u494550,2020-04-11,IN,iPad,free
u367791,2020-06-13,US,Android Tablet,enterprise
u172781,2021-03-30,DE,Mac,basic
u309792,2021-12-20,US,Mac,enterprise
u005299,2021-01-30,US,Windows,premium
u408413,2020-11-23,JP,Android Phone,premium
u923908,2022-10-04,CA,Windows,basic
u721432,2020-02-06,FR,Windows,premium
u564537,2021-12-29,US,Android Phone,free
u496690,2022-12-03,CA,Windows,free
u708539,2022-04-30,JP,Windows,basic
u737526,2022-04-13,MX,Mac,basic
u113814,2020-02-12,BR,Mac,free
u646167,2022-07-30,IN,Android Tablet,premium
u954734,2023-02-04,BR,iPad,premium
u847091,2020-10-20,MX,Android Tablet,free
u296636,2020-12-08,UK,iPad,premium
u485704,2021-05-19,UK,iPad,enterprise
u557120,2020-03-29,DE,iPad,basic
u170606,2020-10-10,UK,Android Tablet,free
u412145,2023-01-20,US,iPad,premium
u394244,2022-11-25,DE,Android Tablet,enterprise
u857186,2020-07-26,MX,iPad,free
u667775,2022-08-06,UK,Android Phone,basic
u063711,2021-06-06,US,iPad,enterprise
u812304,2023-04-20,MX,Mac,enterprise
u794805,2020-12-06,US,iPhone,free
u974530,2022-01-28,DE,Android Tablet,free
u206799,2022-07-21,FR,Android Phone,premium
u880661,2023-03-15,UK,Mac,enterprise
u393158,2022-07-20,US,iPad,basic
u654877,2023-08-30,US,iPad,basic
u419544,2020-01-03,UK,iPhone,free
u849377,2021-11-09,IN,iPad,free
u553634,2020-12-09,MX,Android Tablet,free
u815041,2023-09-09,CA,Android Phone,free
u237523,2022-05-02,FR,iPhone,enterprise
u267305,2020-08-16,BR,Windows,free
u365967,2020-04-14,CA,Windows,enterprise
u328086,2020-01-05,AU,Android Phone,basic
u607852,2020-07-10,DE,Windows,free
u329283,2021-04-30,MX,Mac,premium
u528174,2023-11-12,AU,Android Phone,premium
u820723,2022-06-06,US,Mac,basic
u503760,2021-08-03,UK,Mac,premium
u283050,2020-11-09,IN,Mac,basic
u998740,2020-12-10,DE,Mac,free
u303319,2022-11-03,JP,iPad,free
u204526,2020-04-06,CA,Mac,basic
u092667,2022-02-04,MX,iPad,free
u738531,2021-03-02,US,Windows,free
u008129,2023-10-30,BR,Windows,free
u911908,2020-11-21,CA,Windows,enterprise
u097133,2022-04-21,JP,Windows,premium
u114463,2020-11-23,BR,Windows,basic
u322306,2020-10-12,BR,Windows,basic
u992699,2022-08-14,CA,Mac,premium
u117526,2022-03-10,FR,Android Phone,premium
u234711,2022-11-11,DE,Windows,basic
u831532,2020-11-20,BR,Mac,enterprise
u703203,2022-02-26,IN,Mac,enterprise
u029878,2022-08-18,CA,Android Tablet,free
u324714,2021-08-21,BR,iPhone,enterprise
u826218,2020-03-24,AU,iPhone,premium
u425039,2020-10-01,FR,iPad,premium
u988098,2022-10-25,IN,Windows,premium
u008103,2021-01-16,JP,Mac,premium
u239065,2023-08-03,UK,Windows,basic
u820442,2021-04-13,UK,Android Phone,basic
u211809,2020-02-19,JP,iPad,free
u746314,2021-05-09,UK,Mac,free
u503141,2022-02-11,IN,iPad,free
u353278,2020-02-12,MX,Android Phone,basic
u861896,2021-09-18,DE,Android Phone,free
u667305,2022-05-14,CA,iPhone,premium
u264867,2020-10-20,US,iPhone,enterprise
u388777,2020-03-29,MX,iPad,enterprise
u561636,2021-06-01,MX,iPhone,basic
u766553,2023-12-05,IN,Android Tablet,premium
u071762,2020-05-26,FR,Android Tablet,premium
u622448,2023-05-03,JP,Android Tablet,premium
u661944,2020-05-20,DE,iPad,free
u789285,2020-11-20,UK,Android Phone,premium
u802229,2021-07-04,UK,Android Phone,basic
u109041,2020-09-30,IN,Windows,enterprise
u192124,2020-05-07,JP,Windows,free
u662667,2020-03-25,CA,iPhone,basic
u777279,2021-11-09,IN,Android Tablet,free
u804319,2021-07-08,UK,Android Tablet,premium
u263470,2021-08-10,IN,Android Phone,basic
u912799,2020-09-17,AU,Mac,free
u061025,2021-05-13,UK,Android Phone,enterprise
u593418,2023-09-18,CA,iPhone,basic
u662195,2023-01-02,BR,Android Tablet,basic
u867845,2023-03-30,IN,Android Phone,basic
u686502,2023-04-04,IN,iPad,enterprise
u616429,2020-08-31,FR,Android Phone,premium
u894810,2023-06-04,MX,iPad,basic
u446971,2020-01-26,CA,iPhone,enterprise
u393578,2021-05-24,CA,iPhone,basic
u993856,2023-01-27,DE,iPhone,enterprise
u777499,2021-08-06,US,iPad,premium
u828348,2020-09-16,CA,Android Phone,basic
u941271,2022-08-03,BR,iPad,premium
u948740,2021-04-02,DE,Mac,basic
u857729,2020-05-18,CA,Android Tablet,enterprise
u293197,2022-08-31,FR,Mac,basic
u809201,2022-03-01,JP,Android Phone,free
u800763,2022-03-25,AU,iPad,basic
u066023,2021-02-10,AU,iPad,enterprise
u633386,2021-04-02,AU,iPhone,free
u762541,2021-09-11,JP,Android Phone,free
u520242,2020-04-12,UK,Android Tablet,free
u113768,2021-02-16,FR,iPhone,enterprise
u468901,2023-10-09,AU,Android Tablet,free
u934647,2020-01-21,CA,Android Tablet,enterprise
u617046,2022-06-18,DE,iPad,basic
u977803,2021-11-16,AU,Mac,free
u359453,2021-10-26,IN,iPhone,free
u074226,2020-08-29,FR,iPad,basic
u058958,2020-05-03,FR,iPhone,enterprise
u112577,2022-09-27,IN,iPad,free
u098523,2020-11-24,MX,Android Tablet,free
u694450,2022-06-18,US,Android Tablet,enterprise
u770321,2022-04-25,BR,Windows,free
u500100,2023-07-26,MX,Mac,premium
u028293,2023-07-22,AU,Windows,premium
u053294,2022-05-26,MX,Android Phone,premium
u060871,2022-12-16,AU,Windows,free
u097564,2021-01-04,BR,Android Tablet,free
u672731,2022-08-22,IN,iPhone,enterprise
u856480,2020-12-19,AU,Mac,enterprise
u286342,2020-12-18,MX,iPad,premium
u704997,2022-08-02,FR,Windows,basic
u890828,2022-10-18,UK,Mac,free
u405644,2020-06-02,US,iPhone,premium
u411451,2020-04-27,UK,Android Tablet,enterprise
u698716,2021-05-25,FR,iPad,premium
u410700,2021-10-05,MX,Windows,free
u995148,2021-11-26,US,Android Tablet,free
u054150,2023-03-21,US,Mac,free
u619006,2020-09-01,BR,iPhone,premium
u061967,2020-04-14,US,iPhone,free
u423109,2022-05-21,MX,Android Phone,basic
u926455,2021-01-12,BR,iPhone,enterprise
u666207,2022-04-28,MX,Android Phone,basic
u033075,2023-08-30,JP,iPhone,enterprise
u572937,2021-04-14,IN,Windows,premium
u109658,2020-04-18,BR,iPhone,premium
u869423,2023-09-08,DE,Windows,basic
u721534,2020-08-16,BR,iPhone,free
u750534,2020-10-17,JP,Android Phone,premium
u055282,2023-06-24,AU,Windows,basic
u897130,2022-11-04,UK,Android Tablet,basic
u628561,2023-07-27,DE,Android Phone,enterprise
u305626,2020-01-25,CA,iPad,enterprise
u643962,2023-12-15,FR,Windows,free
u029832,2022-05-10,UK,iPhone,premium
u179334,2022-09-19,FR,iPad,enterprise
u353482,2021-12-10,DE,iPhone,free
u471302,2023-02-01,FR,Windows,premium
u493887,2020-06-08,BR,Android Tablet,free
u640228,2021-08-01,DE,Android Phone,basic
u899665,2020-05-20,CA,iPhone,enterprise
u553067,2023-02-07,CA,iPhone,enterprise
u853657,2023-11-27,DE,iPad,basic
u373439,2021-04-20,FR,Android Phone,free
u495194,2020-05-29,BR,iPad,premium
u482434,2021-10-03,AU,iPad,basic
u193718,2020-09-15,UK,Android Phone,basic
u757824,2023-08-07,IN,iPhone,basic
u666197,2021-06-20,FR,Mac,premium
u456600,2021-12-09,UK,iPhone,premium
u299375,2020-04-23,BR,iPad,basic
u668993,2020-09-21,MX,Mac,premium
u056879,2020-07-09,FR,iPad,premium
u870001,2022-08-19,US,Android Phone,free
u342402,2022-12-22,FR,iPhone,basic
u976687,2023-11-23,IN,Android Phone,basic
u478996,2023-03-19,US,iPad,premium
u609334,2020-07-05,US,Android Phone,premium
u308877,2023-01-16,IN,iPad,premium
u762009,2021-09-14,US,Android Phone,free
u311328,2023-05-20,AU,Android Phone,free
u521666,2022-07-29,JP,Android Phone,basic
u079287,2022-08-23,BR,Mac,free
u263939,2021-09-09,DE,Android Phone,basic
u327961,2023-10-23,US,Windows,basic
u905149,2022-08-18,FR,Windows,enterprise
u721711,2023-08-29,UK,Mac,basic
u774159,2023-07-19,MX,Mac,premium
u794951,2021-06-05,MX,iPad,free
u793014,2023-03-14,US,Android Phone,enterprise
u420902,2022-01-21,JP,Windows,enterprise
u361159,2022-06-23,CA,Windows,basic
u949476,2021-04-14,JP,Mac,premium
u728430,2023-03-28,CA,Android Tablet,free
u000843,2022-05-22,CA,Android Tablet,basic
u082543,2022-06-19,CA,Mac,free
u762001,2023-03-16,AU,Windows,enterprise
u521725,2020-04-14,MX,Windows,enterprise
u565910,2020-06-09,FR,Android Tablet,enterprise
u183288,2023-08-05,FR,Windows,premium
u486879,2023-02-17,FR,iPhone,free
u547060,2023-06-10,MX,iPhone,free
u822167,2021-07-25,UK,Android Phone,free
u223328,2021-12-25,FR,Windows,premium
u208611,2021-02-05,UK,Android Phone,basic
u667626,2023-08-31,IN,Android Phone,enterprise
u695416,2023-11-25,BR,Android Tablet,premium
u416007,2022-03-30,MX,iPad,enterprise
u781645,2023-02-01,JP,Android Tablet,basic
u236099,2023-04-09,MX,iPhone,enterprise
u008925,2021-03-16,IN,iPhone,free
u938907,2023-07-22,AU,Mac,enterprise
u259328,2023-07-20,JP,iPad,free
u308308,2021-10-24,FR,iPad,basic
u169792,2020-10-27,JP,iPad,free
u342294,2022-12-23,FR,Windows,free
u993717,2021-09-16,MX,Windows,free
u415600,2023-02-09,AU,Windows,free
u950297,2022-01-05,JP,iPad,free
u385088,2020-11-20,MX,Android Phone,premium
u219476,2023-05-04,MX,Windows,free
u838215,2023-05-28,CA,iPad,free
u112760,2020-08-26,AU,iPhone,premium
u403896,2021-06-02,IN,Mac,free
u803200,2020-03-20,UK,Android Tablet,free
u177391,2022-10-07,MX,Windows,premium
u916011,2022-10-06,BR,Mac,free
u900475,2023-06-08,MX,Mac,basic
u791738,2022-04-09,US,Android Phone,basic
u157193,2022-12-20,AU,Windows,premium
u836007,2021-04-05,MX,iPhone,free
u395371,2021-11-27,DE,Android Tablet,premium
u101653,2021-11-30,IN,iPhone,enterprise
u255277,2021-06-27,US,Android Phone,free
u398846,2022-04-02,CA,iPad,premium
u831420,2020-08-30,UK,iPad,basic
u239614,2020-02-26,UK,iPhone,basic
u168118,2022-10-09,AU,Android Phone,premium
u329981,2023-08-20,UK,Android Phone,enterprise
u519937,2020-07-25,FR,iPhone,basic
u360373,2022-07-26,FR,Mac,enterprise
u305190,2020-08-02,DE,iPhone,free
u317727,2022-09-22,MX,Windows,free
u264508,2021-11-09,IN,iPad,basic
u688975,2020-07-27,BR,Android Tablet,free
u480009,2021-08-18,IN,Android Tablet,premium
u857143,2023-01-30,US,Mac,basic
u908578,2021-12-13,IN,Android Phone,basic
u522751,2021-06-13,US,iPad,premium
u001747,2021-07-04,AU,Android Tablet,enterprise
u339752,2023-01-14,US,Windows,basic
u282554,2020-05-02,AU,Android Tablet,premium
u221086,2022-06-23,FR,Android Phone,premium
u831893,2023-09-04,AU,Android Tablet,free
u312247,2021-06-21,BR,Android Tablet,free
u961771,2021-01-13,FR,iPhone,free
u065261,2021-12-20,CA,Mac,free
u509363,2023-08-02,AU,Android Phone,free
u063460,2021-03-18,IN,iPhone,basic
u114669,2022-05-23,IN,iPhone,enterprise
u807383,2021-05-17,BR,iPad,free
u210072,2023-10-31,FR,iPhone,enterprise
u439768,2023-04-29,IN,Android Phone,premium
u080165,2021-01-03,MX,Android Tablet,enterprise
u032861,2020-03-13,US,Android Phone,enterprise
u738404,2021-09-09,CA,Mac,enterprise
u291622,2022-05-05,AU,iPhone,free
u717234,2022-06-26,BR,Android Tablet,free
u786633,2023-05-21,FR,Mac,enterprise
u866477,2021-11-23,FR,Android Phone,basic
u672769,2020-04-07,UK,iPhone,free
u783364,2022-10-03,MX,Android Tablet,enterprise
u341876,2023-01-17,FR,Windows,premium
u663045,2022-02-04,AU,Android Tablet,enterprise
u723287,2020-09-18,DE,iPhone,enterprise
u429033,2020-01-06,UK,iPad,free
u555260,2022-06-21,BR,Windows,free
u706528,2023-05-01,BR,Android Tablet,basic
u248113,2020-08-06,JP,Mac,premium
u564934,2023-09-24,JP,iPhone,premium
u247705,2022-10-27,IN,Android Tablet,enterprise
u898837,2021-02-21,JP,iPad,premium
u090849,2022-01-14,IN,iPhone,basic
u032067,2022-11-16,IN,Mac,premium
u655459,2020-05-22,UK,iPhone,basic
u607730,2023-05-23,UK,Android Tablet,premium
